 310 
PlaceId,Name,Subdivision,Country,Lat,Long,Tags
141,Coral Gables,FL,US,25.73,-80.27,
142,Oxford,OH,US,39.51,-84.75,
143,Ann Arbor,MI,US,42.27,-83.74,
144,East Lansing,MI,US,42.74,-84.48,
145,Murfreesboro,TN,US,35.86,-86.39,
146,Minneapolis,MN,US,44.96,-93.27,
147,Oxford,MS,US,34.36,-89.53,
148,Starkville,MS,US,33.46,-88.82,
149,Itta Bena,MS,US,33.5,-90.32,
150,Columbia,MO,US,38.95,-92.33,
151,West Long Branch,NJ,US,40.29,-74.02,
152,Missoula,MT,US,46.86,-114.01,
153,Bozeman,MT,US,45.68,-111.05,
154,Morehead,KY,US,38.18,-83.44,
155,Savannah,GA,US,32.04,-81.07,
156,Emmitsburg,MD,US,39.7,-77.33,
157,Murray,KY,US,36.61,-88.32,
158,Annapolis,MD,US,38.97,-76.5,
159,Lincoln,NE,US,40.81,-96.68,
160,Reno,NV,US,39.53,-119.82,
161,Durham,NH,US,43.14,-70.93,
162,Albuquerque,NM,US,35.11,-106.61,
163,Las Cruces,NM,US,32.32,-106.77,
164,New Orleans,LA,US,29.97,-90.06,
165,Lewiston,NY,US,43.17,-79.04,
166,Thibodaux,LA,US,29.79,-90.82,
167,Norfolk,VA,US,36.89,-76.26,
168,Chapel Hill,NC,US,35.93,-79.04,
169,Greensboro,NC,US,36.08,-79.82,
170,Raleigh,NC,US,35.82,-78.64,
171,Denton,TX,US,33.22,-97.13,
172,Flagstaff,AZ,US,35.2,-111.63,
173,DeKalb,IL,US,41.93,-88.75,
174,Cedar Falls,IA,US,42.52,-92.45,
175,Evanston,IL,US,42.05,-87.69,
176,Natchitoches,LA,US,31.75,-93.1,
177,South Bend,IN,US,41.67,-86.26,
178,Rochester,MI,US,42.68,-83.13,
179,Athens,OH,US,39.33,-82.1,
180,Columbus,OH,US,39.99,-82.99,
181,Norman,OK,US,35.22,-97.42,
182,Stillwater,OK,US,36.16,-97.09,
183,Tulsa,OK,US,36.13,-95.94,
184,Eugene,OR,US,44.06,-123.11,
185,Corvallis,OR,US,44.57,-123.28,
186,Stockton,CA,US,37.98,-121.3,
187,State College,PA,US,40.79,-77.86,
188,Malibu,CA,US,34.03,-118.78,
